,CAAB,Class,Order,Family,Subfamily,Genus,Species,Global.Region,Australian.common.name,Marine.region,Length.measure,a,b,aLL,bLL,Source,Source_Level,Local.region,Feeding.guild,EPBC.Threat.Status,IUCN.Ranking,FB.Vulnerability,FB.countries,FB.Status,FB.Length_MAX,FB.LTypeMaxM,RLS.trophic.level,RLS.trophic.breadth,RLS.trophic.group,RLS.water.column,RLS.substrate.type,RLS.complexity,RLS.night.day,RLS.gregariousness,RLS.thermal.niche,RLS.vulnerability,Fishing.mortality,Fishing.type,Fishing.intensity,MinLegal.NT,MaxLegal.NT,Bag.NT,MinLegal.WA,MaxLegal.WA,Bag.WA,MinLegal.QLD,MaxLegal.QLD,Bag.QLD,MinLegal.NSW,MaxLegal.NSW,Bag.NSW,MinLegal.Vic,MaxLegal.Vic,Bag.Vic,MinLegal.SA,MaxLegal.SA,Bag.SA,MinLegal.Tas,MaxLegal.Tas,Bag.Tas
Gnathanodon speciosus,37337012,Actinopterygii,Perciformes,Carangidae,Caranginae,Gnathanodon,speciosus,Australia,Golden trevally,NW/N/Christmas.Island/CS/TE,FL,0.01992,2.99496,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor/SEQ,generalist carnivore,,Least Concern,37.51,"American.Samoa/Australia/Bahrain/Bangladesh/Solomon.Islands/Brunei.Darussalam/Myanmar/Cambodia/Sri.Lanka/China/Christmas.Island/Cocos.(Keeling).Islands/Colombia/Comoros/Mayotte/Cook.Islands/Costa.Rica/Ecuador/El.Salvador/Fiji/French.Polynesia/Djibouti/Guam/Guatemala/Honduras/Hong.Kong/India/Indonesia/Iran.(Islamic.Republic.of)/Iraq/Japan/Jordan/Kenya/Kuwait/Madagascar/Malaysia/Maldives/Mauritius/Mexico/Mozambique/Oman/Nauru/New.Caledonia/Vanuatu/New.Zealand/Nicaragua/Niue/Northern.Mariana.Islands/United.States.Minor.Outlying.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Pakistan/Panama/Papua.New.Guinea/Philippines/Timor-Leste/Qatar/R̩union/Saudi.Arabia/Seychelles/Singapore/Viet.Nam/Somalia/South.Africa/Thailand/Tonga/United.Arab.Emirates/Tuvalu/Tanzania,.United.Republic.of/Wallis.and.Futuna/Samoa/Yemen",native,1200,TL,3.8,2.474576,benthic invertivore,pelagic non-site attached,Soft sediment,Low,Day,3,26.61633,37,Y,B,,,,,,,Y,,,,,,,,,,,,,,,
Gnathodentex aureolineatus,37351021,Actinopterygii,Perciformes,Lethrinidae,Monotaxinae,Gnathodentex,aureolineatus,Australia,Goldspot seabream,NW/TE,FL,0.01804,3.06254,0,1,FishBase,Species specific,Ningaloo/Pilbara/SEQ,generalist carnivore,,Least Concern,29.43,"American.Samoa/Australia/Bangladesh/Solomon.Islands/Brunei.Darussalam/Myanmar/Cambodia/Sri.Lanka/China/Christmas.Island/Cocos.(Keeling).Islands/Comoros/Mayotte/Cook.Islands/Fiji/French.Polynesia/Kiribati/Guam/Hong.Kong/India/Indonesia/Japan/Kenya/Macao/Madagascar/Malaysia/Maldives/Mauritius/Mozambique/Nauru/New.Caledonia/Vanuatu/Niue/Norfolk.Island/Northern.Mariana.Islands/United.States.Minor.Outlying.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Pitcairn/R̩union/Seychelles/Singapore/Viet.Nam/Somalia/South.Africa/Thailand/Tokelau/Tonga/Tuvalu/Tanzania,.United.Republic.of/Wallis.and.Futuna/Samoa",native,300,TL,3.3,3,benthic invertivore,Demersal,Hard bottom,Low,Day,3,26.11849,29,N,,,,,,280,,Y,,,,,,,,,,,,,,,
Gnathophis longicauda,37067002,Actinopterygii,Anguilliformes,Congridae,Congrinae,Gnathophis,longicauda,Australia,Little conger,SW/SE/TE/CS,TL,0.00063,3.18,,,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest,,,,40.94,Australia,endemic,,,,,,,,,,,,,Y,B,,,,,,,,,,,,,,,,,,,,,,
Gobiodon okinawae,37428162,Actinopterygii,Perciformes,Gobiidae,Gobiinae,Gobiodon,okinawae,Australia,Yellow coralgoby,SW,TL,0.01995,3.01,0,1.20816,FishBase,LWR estimates for this body shape,West/Southwest,,,,10,Australia/Solomon.Islands/Brunei.Darussalam/Cocos.(Keeling).Islands/Indonesia/Japan/Malaysia/New.Caledonia/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Viet.Nam,native,35,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Gomphosus varius,37384106,Actinopterygii,Perciformes,Labridae,,Gomphosus,varius,Australia,Birdnose wrasse,NW/TE/SW/N/CS/Lord.Howe.Island/Christmas.Island,FL,0.02437,2.70269,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor/Negros/SEQ,invertebrate carnivore,,Least Concern,43.72,American.Samoa/Australia/Sri.Lanka/China/Christmas.Island/Cocos.(Keeling).Islands/Cook.Islands/French.Polynesia/Kiribati/Guam/India/Indonesia/Japan/Madagascar/Malaysia/New.Caledonia/Vanuatu/Niue/Norfolk.Island/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Pitcairn/Viet.Nam/Thailand/Tonga/Samoa,native,300,SL,3.6,4,benthic invertivore,Demersal,Hard bottom,Low,Day,1,25.15953,45,N,,,,,,,,Y,300,,,,,,,,,,,,,,
Gonorynchus greyi,37141001,Actinopterygii,Gonorhynchiformes,Gonorynchidae,,Gonorynchus,greyi,Australia,Beaked salmon,SW,TL,0.00389,3.12,0,1,FishBase,LWR estimates for this body shape,West/Southwest,,,,27.83,Australia/New.Caledonia/New.Zealand/Norfolk.Island,native,500,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Gracila albomarginata,37311156,Actinopterygii,Perciformes,Serranidae,Epinephelinae,Gracila,albomarginata,Australia,Thinspine grouper,NW/CS/Christmas.Island/Cocos.Keeling,TL,0.01148,3.05,0,1.006225,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest,,,Data Deficient,36.4,"Australia/Solomon.Islands/Christmas.Island/Cocos.(Keeling).Islands/Comoros/Mayotte/Cook.Islands/Fiji/French.Polynesia/Kiribati/Guam/Indonesia/Japan/Malaysia/Maldives/Mauritius/Mozambique/New.Caledonia/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/R̩union/Seychelles/Tonga/Tuvalu/Tanzania,.United.Republic.of/Samoa",native,400,TL,4.2,2.596491,higher carnivore,Demersal,Hard bottom,Medium,Day,1,,36,Y,B,,,,,,,Y,,,,,,,,,,,,,,,
Grammatorcynus bicarinatus,37441025,Actinopterygii,Perciformes,Scombridae,Scombrinae,Grammatorcynus,bicarinatus,Australia,shark mackerel,CS/N/SW/TE/NW,TL,0.00875,3,,,FishBase,Species specific,West/Southwest/SEQ,,,Least Concern,54.35,Australia/China/New.Caledonia/Palau/Papua.New.Guinea/Wallis.and.Futuna,native,1120,FL,4.5,2.62963,higher carnivore,pelagic non-site attached,Hard bottom,Low,Day,3,24.761,54,Y,C/R,,,,,500,,Y,,,,,,,,,,,,,,,
Grammatorcynus bilineatus,37441028,Actinopterygii,Perciformes,Scombridae,Scombrinae,Grammatorcynus,bilineatus,Australia,Scad mackerel,CS/N/SW/NW,SL,0.00987,3,0,0.914,FishBase,Species specific,West/Southwest,,,Least Concern,49.18,Australia/Solomon.Islands/Brunei.Darussalam/Myanmar/Fiji/Djibouti/Guam/Indonesia/Japan/Jordan/Malaysia/New.Caledonia/Vanuatu/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Timor-Leste/Saudi.Arabia/Somalia/Tokelau/Tonga/Tuvalu/Egypt/Samoa/Yemen,native,1000,FL,4.2,2.62963,higher carnivore,pelagic non-site attached,Hard bottom,Low,Day,2,26.008,48,Y,B,,,,,,,,,,,,,,,,,,,,,,
Grammicolepis brachiusculus,37265001,Actinopterygii,Zeiformes,Grammicolepididae,Grammicolepidinae,Grammicolepis,brachiusculus,Australia,Thorny tinselfish,NW,TL,0.0312,2.71,0,1.02326,FishBase,Species specific,Pilbara,,,Least Concern,47.96,Angola/Australia/Bahamas/Cameroon/Canada/Congo/Congo.(Democratic.Republic.of.the)/Cuba/Benin/Equatorial.Guinea/French.Guiana/Gabon/Gambia/Ghana/Guinea/C̫te.d'Ivoire/Japan/Liberia/Morocco/Namibia/New.Caledonia/Nigeria/Guinea-Bissau/Sierra.Leone/South.Africa/Spain/Western.Sahara/Suriname/Togo/United.States.of.America,native,640,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Grammistes sexlineatus,37312006,Actinopterygii,Perciformes,Grammistidae,,Grammistes,sexlineatus,Australia,Lined soapfish,N/CS/NW,TL,0.02054,3,0,1,FishBase,Species specific,,,,Least Concern,32.04,"American.Samoa/Australia/Sri.Lanka/China/Christmas.Island/Cocos.(Keeling).Islands/Comoros/Mayotte/Cook.Islands/Fiji/French.Polynesia/Guam/India/Indonesia/Japan/Kenya/Madagascar/Malaysia/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/Vanuatu/New.Zealand/Niue/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/R̩union/Saudi.Arabia/Seychelles/Viet.Nam/Somalia/South.Africa/Thailand/Tonga/Egypt/Tanzania,.United.Republic.of/Samoa",native,300,TL,4,2.596491,higher carnivore,Demersal,Hard bottom,High,Day,1,23.713,32,Y,C,,,,,,,,,,,,,,,,,,,,,,
Gunnellichthys curiosus,37435003,Actinopterygii,Perciformes,Microdesmidae,Microdesminae,Gunnellichthys,curiosus,Australia/Indonesia,Curious wormfish,NW,TL,0.00389,3.12,0,1,FishBase,LWR estimates for this body shape,Timor/Ningaloo/Pilbara,,,Least Concern,10,Australia/French.Polynesia/Guam/Indonesia/Japan/Madagascar/Maldives/Mauritius/New.Caledonia/Palau/Papua.New.Guinea/Philippines/Seychelles,native,120,SL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Gunnellichthys monostigma,37435004,Actinopterygii,Perciformes,Microdesmidae,Microdesminae,Gunnellichthys,monostigma,Australia,Onespot wormfish,NW/N/CS,TL,0.00389,3.12,0,1.02326,FishBase,LWR estimates for this body shape,,,,Least Concern,10,American.Samoa/Australia/Christmas.Island/Cocos.(Keeling).Islands/French.Polynesia/Guam/Indonesia/Japan/Maldives/New.Caledonia/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Saudi.Arabia/Egypt/Samoa,native,150,SL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Gunnellichthys pleurotaenia,37435005,Actinopterygii,Perciformes,Microdesmidae,Microdesminae,Gunnellichthys,pleurotaenia,Australia,Blacklined wormfish,NW/SW,TL,0.00389,3.12,0,1,FishBase,LWR estimates for this body shape,Ningaloo/Pilbara/Timor/West/Southwest,,,Least Concern,10,American.Samoa/Australia/Guam/Indonesia/Japan/New.Caledonia/Vanuatu/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Philippines/Samoa,native,120,SL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Gymnapistes marmoratus,37287018,Actinopterygii,Scorpaeniformes,Tetrarogidae,,Gymnapistes,marmoratus,Australia,Soldier,SE/SW/TE,TL,0.01122,3.04,,,FishBase,LWR estimates for this body shape,South-East,,,,55.32,Australia,endemic,225,SL,,,,,,,,,,,Y,B,,,,,,,,,,,,,,,,,,,,,,
Gymnocranius audleyi,37351018,Actinopterygii,Perciformes,Lethrinidae,Monotaxinae,Gymnocranius,audleyi,Australia,Collar seabream,CS/N/SW/TE,FL,0.0304,2.95,0,1,FishBase,Species specific,West/Southwest/NSW,invertebrate carnivore,,Least Concern,25.62,Australia/New.Caledonia,native,400,TL,3.582576,5.333333,benthic invertivore,Demersal,Soft sediment,Medium,Day,1,,38,Y,B,,,,,280,,Y,,,,,,,,,,,,,,,
Gymnocranius elongatus,37351010,Actinopterygii,Perciformes,Lethrinidae,Monotaxinae,Gymnocranius,elongatus,Australia,Swallowtail seabream,NW,TL,0.01778,2.97,0,1.13447,FishBase,LWR estimates for this (Sub)family-body shape,Ningaloo/Pilbara,invertebrate carnivore,,,31.84,"Australia/Bangladesh/Solomon.Islands/Brunei.Darussalam/Myanmar/Cambodia/Sri.Lanka/China/Comoros/Hong.Kong/India/Indonesia/Japan/Kenya/Macao/Madagascar/Malaysia/Maldives/Mozambique/Papua.New.Guinea/Philippines/Seychelles/Singapore/Viet.Nam/Somalia/Thailand/Tanzania,.United.Republic.of",native,350,TL,,,,,,,,,,,Y,B,,,,,280,,Y,,,,,,,,,,,,,,,
Gymnocranius euanus,37351022,Actinopterygii,Perciformes,Lethrinidae,Monotaxinae,Gymnocranius,euanus,Australia,Paddletail seabream,CS/N/SW/TE/NW,FL,0.0263,2.958,0,1,FishBase,Species specific,West/Southwest/SEQ,,,Least Concern,40.48,American.Samoa/Australia/Solomon.Islands/Brunei.Darussalam/Cambodia/China/Fiji/Guam/Hong.Kong/Japan/Macao/Malaysia/New.Caledonia/Vanuatu/Niue/Norfolk.Island/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Palau/Papua.New.Guinea/Philippines/Singapore/Viet.Nam/Thailand/Tonga/Wallis.and.Futuna/Samoa,native,450,TL,3.016667,5,benthic invertivore,Demersal,Hard bottom,Low,Day,1,24.99433,40,Y,B,,,,,280,,Y,,,,,,,,,,,,,,,
Gymnocranius grandoculis,37351005,Actinopterygii,Perciformes,Lethrinidae,Monotaxinae,Gymnocranius,grandoculis,Australia,Robinson's seabream,CS/N/NW/TE,FL,0.03199,2.88489,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor/Negros/SEQ,generalist carnivore,,Least Concern,41.78,"American.Samoa/Australia/Bangladesh/Solomon.Islands/Brunei.Darussalam/Myanmar/Cambodia/Sri.Lanka/China/Christmas.Island/Comoros/Cook.Islands/Fiji/French.Polynesia/Djibouti/Kiribati/Guam/Hong.Kong/India/Indonesia/Japan/Jordan/Kenya/Macao/Madagascar/Malaysia/Maldives/Mauritius/Mozambique/Oman/Nauru/New.Caledonia/Vanuatu/Niue/Northern.Mariana.Islands/United.States.Minor.Outlying.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Pakistan/Papua.New.Guinea/Philippines/Pitcairn/R̩union/Saudi.Arabia/Seychelles/Singapore/Viet.Nam/Somalia/South.Africa/Thailand/Tokelau/Tonga/Tuvalu/Egypt/Tanzania,.United.Republic.of/Wallis.and.Futuna/Samoa/Yemen",native,800,TL,,,,,,,,,,,Y,C/R,,,,,280,,Y,,,,,,,,,,,,,,,
Gymnocranius griseus,37351003,Actinopterygii,Perciformes,Lethrinidae,Monotaxinae,Gymnocranius,griseus,Australia,Grey seabream,NW/N,TL,0.01451,3,0,1.07544,FishBase,Species specific,,,,Least Concern,37.53,Australia/Bangladesh/Brunei.Darussalam/Myanmar/Cambodia/Sri.Lanka/China/Guam/Hong.Kong/India/Indonesia/Japan/Korea.(Republic.of)/Macao/Malaysia/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Singapore/Viet.Nam/Thailand,native,350,TL,,,,,,,,,,,Y,C/R,,,,,280,,Y,,,,,,,,,,,,,,,
Gymnosarda unicolor,37441029,Actinopterygii,Perciformes,Scombridae,Scombrinae,Gymnosarda,unicolor,Australia,Dogtooth tuna,CS/N/NW,FL,0.0105,3.065,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor/Negros,piscivore,,Least Concern,72.67,"Australia/Myanmar/Sri.Lanka/China/Christmas.Island/Cocos.(Keeling).Islands/Comoros/Cook.Islands/Fiji/French.Polynesia/Djibouti/Guam/Hong.Kong/India/Indonesia/Japan/Jordan/Korea.(Republic.of)/Madagascar/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/Vanuatu/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Pitcairn/R̩union/Saudi.Arabia/Seychelles/Viet.Nam/Somalia/South.Africa/Tonga/Tuvalu/Egypt/Tanzania,.United.Republic.of/Wallis.and.Futuna/Samoa/Yemen",native,2480,FL,4.5,2.62963,higher carnivore,pelagic non-site attached,Hard bottom,Low,Day,3,26.67933,73,Y,C/R,,,,,,,Y,,,,,,,,,,,,,,,
Gymnothorax annasona,37060064,Actinopterygii,Anguilliformes,Muraenidae,Muraeninae,Gymnothorax,annasona,Australia,Lord Howe moray,TE,TL,0.00098,3.1,,,FishBase,LWR estimates for this Genus-body shape,,,,,48.12,Australia/Norfolk.Island,native,553,TL,3.9,1.857143,benthic invertivore,benthic,Hard bottom,High,Night,1,21.85835,43,N,,,,,,,,,,,,,,,,,,,,,,,
Gymnothorax buroensis,37060032,Actinopterygii,Anguilliformes,Muraenidae,Muraeninae,Gymnothorax,buroensis,Australia,Latticetail moray,NW/N/CS/TE,TL,0.00206,3,0,1,FishBase,Species specific,,,,,33.75,American.Samoa/Australia/Christmas.Island/Cocos.(Keeling).Islands/Comoros/Costa.Rica/French.Polynesia/Guam/India/Indonesia/Israel/Japan/Jordan/Madagascar/Maldives/Mauritius/Mozambique/New.Caledonia/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Panama/Papua.New.Guinea/Philippines/R̩union/Seychelles/Viet.Nam/South.Africa/Tonga/Egypt/Samoa,native,387,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Gymnothorax chilospilus,37060033,Actinopterygii,Anguilliformes,Muraenidae,Muraeninae,Gymnothorax,chilospilus,Australia,Lipspot moray,SW/NW/N/CS/TE,TL,0.00098,3.1,0,1,FishBase,LWR estimates for this Genus-body shape,,,,,37.91,American.Samoa/Australia/Christmas.Island/French.Polynesia/Indonesia/Japan/Madagascar/Mauritius/Oman/New.Caledonia/Norfolk.Island/Papua.New.Guinea/Philippines/R̩union/Seychelles/Viet.Nam/South.Africa/Tonga/Samoa,native,505,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Gymnothorax cribroris,37060002,Actinopterygii,Anguilliformes,Muraenidae,Muraeninae,Gymnothorax,cribroris,Australia,Sieve moray,NW/TE,TL,0.00098,3.1,,,FishBase,LWR estimates for this Genus-body shape,Ningaloo/Pilbara/SEQ,,,,54.69,Australia/Viet.Nam,native,750,TL,4,1.857143,benthic invertivore,benthic,Hard bottom,High,Night,1,21.04717,49,N,,,,,,,,,,,,,,,,,,,,,,,
Gymnothorax eurostus,37060034,Actinopterygii,Anguilliformes,Muraenidae,Muraeninae,Gymnothorax,eurostus,Australia,Stout moray,NW,TL,0.00098,3.1,,,FishBase,LWR estimates for this Genus-body shape,Ningaloo/Pilbara,generalist carnivore,,,48.54,Australia/Chile/Costa.Rica/French.Polynesia/Japan/Madagascar/Mauritius/Mozambique/New.Caledonia/New.Zealand/Norfolk.Island/Papua.New.Guinea/Pitcairn/R̩union/South.Africa/Tonga,native,600,TL,4.1,1.857143,benthic invertivore,benthic,Hard bottom,High,Night,1,22.28458,35,N,,,,,,,,,,,,,,,,,,,,,,,
Gymnothorax favagineus,37060016,Actinopterygii,Anguilliformes,Muraenidae,Muraeninae,Gymnothorax,favagineus,Australia,Tessellate moray,NW/N/CS,TL,0.00098,3.1,0,1,FishBase,LWR estimates for this Genus-body shape,West/Southwest/Timor,,,,85.41,"Australia/Myanmar/Sri.Lanka/Comoros/Mayotte/Fiji/India/Indonesia/Japan/Kenya/Madagascar/Malaysia/Maldives/Mauritius/Mozambique/Oman/Papua.New.Guinea/Philippines/R̩union/Seychelles/Viet.Nam/Somalia/South.Africa/Thailand/Tanzania,.United.Republic.of/Yemen",native,3000,TL,4.2,1.857143,benthic invertivore,benthic,Hard bottom,High,Night,1,24.697,76,N,,,,,,,,,,,,,,,,,,,,,,,
Gymnothorax fimbriatus,37060035,Actinopterygii,Anguilliformes,Muraenidae,Muraeninae,Gymnothorax,fimbriatus,Australia,Fimbriate moray,NW/N/CS,FL,0.00044,3.32357,0,1,FishBase,Species specific,West/Southwest/Timor,,,,54.5,American.Samoa/Australia/Myanmar/China/Cocos.(Keeling).Islands/French.Polynesia/Guam/India/Indonesia/Japan/Madagascar/Malaysia/Maldives/Mauritius/New.Caledonia/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/R̩union/Seychelles/Viet.Nam/Thailand/Tonga/Samoa,native,800,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Gymnothorax flavimarginatus,37060036,Actinopterygii,Anguilliformes,Muraenidae,Muraeninae,Gymnothorax,flavimarginatus,Australia,Yellowmargin moray,CS/N/NW,TL,4.00E-04,3.35,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor,piscivore,,,83.93,"American.Samoa/Australia/Christmas.Island/Cocos.(Keeling).Islands/Colombia/Mayotte/Cook.Islands/Costa.Rica/French.Polynesia/Guam/Hong.Kong/India/Indonesia/Japan/Jordan/Kenya/Madagascar/Maldives/Mauritius/Mexico/Mozambique/Oman/New.Caledonia/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Panama/Papua.New.Guinea/Philippines/R̩union/Seychelles/Viet.Nam/Somalia/South.Africa/Tonga/Egypt/Tanzania,.United.Republic.of/Samoa",native,2400,TL,4.2,1.857143,benthic invertivore,benthic,Hard bottom,High,Night,1,23.5995,73,N,,,,,,,,,,,,,,,,,,,,,,,
Gymnothorax javanicus,37060039,Actinopterygii,Anguilliformes,Muraenidae,Muraeninae,Gymnothorax,javanicus,Australia,Giant moray,CS/N/NW/SW,,0.0035,3,,,FishBase,Species specific,Ningaloo/Pilbara/Timor/NA,invertebrate carnivore,,,85.41,"American.Samoa/Australia/Brunei.Darussalam/Sri.Lanka/Christmas.Island/Cocos.(Keeling).Islands/Mayotte/Cook.Islands/French.Polynesia/Guam/India/Indonesia/Japan/Jordan/Kenya/Madagascar/Malaysia/Maldives/Mauritius/Mozambique/New.Caledonia/Niue/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Palau/Papua.New.Guinea/Philippines/Pitcairn/R̩union/Saudi.Arabia/Seychelles/Singapore/Viet.Nam/Somalia/South.Africa/Thailand/Tonga/Egypt/Tanzania,.United.Republic.of/Samoa",native,3000,TL,3.9,1.857143,benthic invertivore,benthic,Hard bottom,High,Night,1,26.59916,76,N,,,,,,,,,,,,,,,,,,,,,,,
Gymnothorax meleagris,37060045,Actinopterygii,Anguilliformes,Muraenidae,Muraeninae,Gymnothorax,meleagris,Australia,Whitemouth moray,NW/SW,TL,0.00209,3,0,1,FishBase,Species specific,West/Southwest/Ningaloo/Pilbara/Timor/West/Southwest/Ningaloo/Pilbara/Timor,,,,66.78,"American.Samoa/Australia/China/Christmas.Island/Comoros/Mayotte/Cook.Islands/French.Polynesia/Guam/India/Indonesia/Japan/Kenya/Madagascar/Maldives/Mauritius/Mozambique/New.Caledonia/Vanuatu/Niue/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Pitcairn/R̩union/Seychelles/Viet.Nam/Somalia/South.Africa/Thailand/Tonga/Tanzania,.United.Republic.of/Samoa/Yemen",native,1200,TL,4.5,1,higher carnivore,benthic,Hard bottom,High,Night,1,23.97713,52,N,,,,,,,,,,,,,,,,,,,,,,,
Gymnothorax minor,37060003,Actinopterygii,Anguilliformes,Muraenidae,Muraeninae,Gymnothorax,minor,Australia,Lesser moray,NW/N/CS/TE,TL,0.00098,3.1,0,1,FishBase,LWR estimates for this Genus-body shape,,,,,44.59,Australia/China/Hong.Kong/Japan,native,545,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Gymnothorax nubilus,37060065,Actinopterygii,Anguilliformes,Muraenidae,Muraeninae,Gymnothorax,nubilus,Australia,Grey moray,TE/SE,TL,0.00082,3.17,,,FishBase,Species specific,,,,,48.05,Australia/New.Zealand/Norfolk.Island,native,820,TL,3.9,1.857143,benthic invertivore,benthic,Hard bottom,High,Night,1,21.6585,42,N,,,,,,,,,,,,,,,,,,,,,,,
Gymnothorax nudivomer,37060047,Actinopterygii,Anguilliformes,Muraenidae,Muraeninae,Gymnothorax,nudivomer,Australia,Yellowmouth moray,NW/SW,TL,0.00098,3.1,,,FishBase,LWR estimates for this Genus-body shape,West/Southwest,,,,81.41,"Australia/Guam/Indonesia/Israel/Japan/Jordan/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/Palau/R̩union/Seychelles/Somalia/South.Africa/Tonga/Tanzania,.United.Republic.of/Yemen",native,1800,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Gymnothorax obesus,37060063,Actinopterygii,Anguilliformes,Muraenidae,Muraeninae,Gymnothorax,obesus,Australia,Speckled moray,CS/TE/SE,TL,0.00098,3.1,,,FishBase,LWR estimates for this Genus-body shape,,,,,84.61,Australia/New.Zealand/Norfolk.Island,native,1800,TL,4.3,1.857143,higher carnivore,benthic,Hard bottom,High,Night,1,,80,N,,,,,,,,,,,,,,,,,,,,,,,
Gymnothorax porphyreus,37060066,Actinopterygii,Anguilliformes,Muraenidae,Muraeninae,Gymnothorax,porphyreus,Australia,Lowfin moray,TE/SE,TL,0.00127,3.07,,,FishBase,Species specific,,,,Least Concern,60.98,Australia/Chile/Ecuador/New.Caledonia/New.Zealand/Norfolk.Island/Peru,native,1030,TL,3.8,1.857143,benthic invertivore,benthic,Hard bottom,High,Night,1,,18,N,,,,,,,,,,,,,,,,,,,,,,,
Gymnothorax prasinus,37060006,Actinopterygii,Anguilliformes,Muraenidae,Muraeninae,Gymnothorax,prasinus,Australia,Green moray,NW/SE/SW/TE,TL,0.00098,3.1,,,FishBase,LWR estimates for this Genus-body shape,South-East/West/Southwest/NSW/PSGLMP,scavenger,,,58.3,Australia/New.Zealand,native,915,TL,3.6,2,benthic invertivore,benthic,Hard bottom,High,Night,1,19.75149,51,N,,,,,,,,,,,,,,,,,,,,,,,
Gymnothorax prionodon,37060049,Actinopterygii,Anguilliformes,Muraenidae,Muraeninae,Gymnothorax,prionodon,Australia,Sawtooth moray,TE,TL,0.00098,3.1,,,FishBase,LWR estimates for this Genus-body shape,NSW/PSGLMP/NA,scavenger,,,80.48,Australia/Japan/New.Zealand,native,1500,TL,4.2,1.857143,benthic invertivore,benthic,Hard bottom,High,Night,1,20.9604,78,N,,,,,,,,,,,,,,,,,,,,,,,
Gymnothorax pseudothyrsoideus,37060005,Actinopterygii,Anguilliformes,Muraenidae,Muraeninae,Gymnothorax,pseudothyrsoideus,Australia,Highfin moray,CS/N/SW/NW/TE,TL,0.00098,3.1,0,1,FishBase,LWR estimates for this Genus-body shape,West/Southwest,,,,54.5,Australia/India/Indonesia/Japan/Oman/New.Caledonia/Philippines,native,800,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
