"","australian_source","caab","class","order","family","subfamily","genus","species","scientific_name","australian_common_name","global_region","marine_region","global_source","fb_code","fb_length_at_maturity_cm","fb_length_weight_measure","fb_a","fb_b","fb_a_ll","fb_b_ll","fb_length_weight_source","fb_vulnerability","fb_countries","fb_status","length_max_cm","length_max_type","length_max_source","fb_trophic_level","fb_trophic_level_se","fb_trophic_level_source","foa_min_depth","foa_max_depth","rls_trophic_group","rls_water_column","rls_substrate_type","rls_thermal_niche","local_source","epbc_threat_status","iucn_ranking","fishing_mortality","fishing_type","min_legal_nt","max_legal_nt","min_legal_wa","max_legal_wa","min_legal_qld","max_legal_qld","min_legal_nsw","max_legal_nsw","min_legal_vic","max_legal_vic","min_legal_sa","max_legal_sa","min_legal_tas","max_legal_tas"
"370","CAAB","37346030","Actinopterygii","Perciformes","Lutjanidae","Lutjaninae","Lutjanus","johnii","Lutjanus johnii","Golden Snapper","Australia","NW, N, CS","FishBase","264",NA,"TL",0.039,2.733,0,1.00861001014709,"Species specific",60.44,"Australia, Bahrain, Bangladesh, Solomon Is., Myanmar, Cambodia, Sri Lanka, China, Chinese Taipei, Comoros, Fiji, Djibouti, Hong Kong, India, Indonesia, Iran, Japan, Ryukyu Is., Kenya, Kuwait, Madagascar, Malaysia, Mauritius, Mozambique, Oman, Vanuatu, Pakistan, Papua New Guinea, Philippines, Timor-Leste, Qatar, Saudi Arabia, Seychelles, Singapore, Viet Nam, Somalia, South Africa, Thailand, Tokelau, United Arab Em., Tanzania, Samoa, Yemen, Andaman Is.","native",97,"TL","Fishbase","4.2","0.6","based on diet studies","0","80","higher carnivore","Demersal","Hard bottom",28.39233,"Harvey et al 2020",NA,"Least Concern","Y","C/R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","CAAB","37346031","Actinopterygii","Perciformes","Lutjanidae","Apsilinae","Lipocheilus","carnolabrum","Lipocheilus carnolabrum","Tang's Snapper","Australia","NW, N, CS","FishBase","1394",NA,"FL",0.149,2.488,0,1,"Species specific",49.61,"Australia, Bangladesh, Solomon Is., Brunei Darsm, Myanmar, Cambodia, Sri Lanka, China, Chinese Taipei, Djibouti, Hong Kong, India, Indonesia, Japan, Ryukyu Is., Macau, Malaysia, New Caledonia, Vanuatu, Palau, Pakistan, Papua New Guinea, Admiralty Is., Philippines, Timor-Leste, Singapore, Viet Nam, Thailand, Andaman Is.","native",50,NA,"Fishbase","3.9","0.60","based on food items",NA,NA,NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern","Y","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","CAAB","37346032","Actinopterygii","Perciformes","Lutjanidae","Etelinae","Pristipomoides","filamentosus","Pristipomoides filamentosus","Rosy Snapper","Australia","NW, N, CS, TE, SW","FishBase","201",42.8333333333333,"TL",0.02195,2.8099,2.58500003814697,1.12119996547699,"Species specific",43.22,"American Samoa, Australia, Bahrain, Bangladesh, Solomon Is., Brunei Darsm, Myanmar, Cambodia, Sri Lanka, China, Chinese Taipei, Comoros, Mayotte, Cook Is., Fiji, French Polynesia, Bassas da India, Djibouti, Kiribati, Guam, Hong Kong, India, Indonesia, Iran, Iraq, Israel, Japan, Ryukyu Is., Johnston I., Jordan, Kenya, Kuwait, Macau, Madagascar, Malaysia, Maldives, Mauritius, Mozambique, Oman, Nauru, New Caledonia, Vanuatu, Niue, North Marianas, Pac Is Trust Tr, Micronesia, Marshall Is., Palau, Pakistan, Papua New Guinea, Admiralty Is., Philippines, Timor-Leste, Qatar, La Reunion Is., Saudi Arabia, Seychelles, Singapore, Viet Nam, Somalia, South Africa, Sudan, Thailand, Tokelau, Tonga, United Arab Em., Tuvalu, Egypt, Chagos Is., Tanzania, Hawaii, US Misc Pac, Wake I., Wallis Futuna, Samoa, Yemen, Eritrea, Andaman Is., Ogasawara Is., Socotra Arch.","native",100,"TL","Fishbase","4.2","0.4","based on diet studies","40","360",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern","Y","C/R",NA,NA,NA,NA,380,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","CAAB","37346033","Actinopterygii","Perciformes","Lutjanidae","Lutjaninae","Lutjanus","adetii","Lutjanus adetii","Hussar","Australia","CS, TE","FishBase","1395",25,"FL",0.00697,3.268,0,1,"Species specific",37.54,"Australia, New Caledonia, Lord Howe I.","native",50,"TL","Fishbase","3.7","0.0","based on diet studies","0","40",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern","Y","R",NA,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","CAAB","37346036","Actinopterygii","Perciformes","Lutjanidae","Etelinae","Aphareus","furca","Aphareus furca","Smalltooth Jobfish","Australia","Cocos Islands, Christmas Island, NW, TE, CS","FishBase","81",NA,"FL",0.0277,2.87,0,1,"Species specific",35.93,"American Samoa, Australia, Bangladesh, Solomon Is., Brunei Darsm, Myanmar, Cambodia, Sri Lanka, China, Chinese Taipei, Christmas I., Comoros, Mayotte, Cook Is., Fiji, Tahiti, French Polynesia, Bassas da India, Djibouti, Kiribati, Guam, India, Indonesia, Iran, Japan, Ryukyu Is., Johnston I., Kenya, Madagascar, Malaysia, Maldives, Mauritius, Mozambique, Oman, Nauru, New Caledonia, Vanuatu, North Marianas, US Minor Is., Micronesia, Marshall Is., Palau, Pakistan, Panama, Papua New Guinea, Admiralty Is., Philippines, Pitcairn, Timor-Leste, La Reunion Is., Saudi Arabia, Seychelles, Singapore, Viet Nam, Somalia, South Africa, Sudan, Thailand, Tokelau, Tonga, United Arab Em., Tuvalu, Egypt, Chagos Is., Tanzania, Hawaii, Samoa, Yemen, Eritrea, Andaman Is., Cocos I. (C.R.), Ogasawara Is., Lord Howe I.","native",70,"FL","Fishbase","4.1","0.73","based on food items","1","302","higher carnivore","Demersal","Hard bottom",26.44796,"Harvey et al 2020",NA,"Least Concern","N",NA,NA,NA,NA,NA,380,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","CAAB","37346038","Actinopterygii","Perciformes","Lutjanidae","Etelinae","Etelis","coruscans","Etelis coruscans","Flame Snapper","Australia","N, TE, CS, Christmas Island, NW, SW","FishBase","1385",66.3000030517578,"FL",0.0172,2.961,0,1,"Species specific",45.23,"American Samoa, Australia, Bahrain, Bangladesh, Solomon Is., Brunei Darsm, Myanmar, Cambodia, Sri Lanka, China, Chinese Taipei, Christmas I., Cocos Is. (Keel), Comoros, Mayotte, Cook Is., Fiji, Marquesas Is., French Polynesia, Djibouti, Kiribati, Guam, Hong Kong, India, Indonesia, Iran, Iraq, Japan, Ryukyu Is., Johnston I., Kenya, Kuwait, Macau, Madagascar, Malaysia, Maldives, Mauritius, Mozambique, Oman, Nauru, New Caledonia, Vanuatu, New Zealand, Kermadec Is., Niue, Norfolk I., North Marianas, US Minor Is., Pac Is Trust Tr, Micronesia, Marshall Is., Palau, Pakistan, Papua New Guinea, Admiralty Is., Philippines, Timor-Leste, Qatar, La Reunion Is., Saudi Arabia, Seychelles, Singapore, Viet Nam, Somalia, South Africa, Thailand, Tokelau, Tonga, United Arab Em., Tuvalu, Chagos Is., Tanzania, Hawaii, Wallis Futuna, Samoa, Yemen, Andaman Is., Ogasawara Is., Lord Howe I., Socotra Arch.","native",120,"TL","Fishbase","4.4","0.2","based on diet studies","90","500",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","CAAB","37346045","Actinopterygii","Perciformes","Lutjanidae","Lutjaninae","Lutjanus","monostigma","Lutjanus monostigma","Onespot Snapper","Australia","NW, N, CS","FishBase","166",NA,"FL",0.0266,2.86,0,1,"Species specific",39.61,"American Samoa, Australia, Bangladesh, Solomon Is., Brunei Darsm, Myanmar, Cambodia, Sri Lanka, China, Chinese Taipei, Cocos Is. (Keel), Comoros, Mayotte, Cook Is., Fiji, Tahiti, Tuamotu Is., Marquesas Is., French Polynesia, Djibouti, Kiribati, Guam, Hong Kong, India, Indonesia, Japan, Ryukyu Is., Jordan, Kenya, Korea (South), Macau, Madagascar, Malaysia, Maldives, Mauritius, Mozambique, Oman, Nauru, New Caledonia, Vanuatu, Niue, North Marianas, US Minor Is., Caroline I., Micronesia, Marshall Is., Palau, Papua New Guinea, Admiralty Is., Philippines, Pitcairn, Timor-Leste, La Reunion Is., Saudi Arabia, Seychelles, Singapore, Viet Nam, Somalia, Sudan, Thailand, Tokelau, Tonga, Tuvalu, Egypt, Chagos Is., Tanzania, Wallis Futuna, Samoa, Yemen, Eritrea, Andaman Is., Ogasawara Is., Socotra Arch.","native",60,"TL","Fishbase","4.3","0.74","based on food items","5","50","higher carnivore","Demersal","Hard bottom",26.6415,"Harvey et al 2020",NA,"Least Concern","N","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","CAAB","37346047","Actinopterygii","Perciformes","Lutjanidae","Lutjaninae","Macolor","macularis","Macolor macularis","Midnight Snapper","Australia","NW, N, CS","FishBase","186",NA,"FL",0.0274,2.91,0,1,"Species specific",44,"Australia, Solomon Is., Chinese Taipei, Christmas I., Fiji, Kiribati, Guam, Indonesia, Japan, Ryukyu Is., Malaysia, Maldives, New Caledonia, Vanuatu, North Marianas, Micronesia, Palau, Papua New Guinea, Admiralty Is., Philippines, Timor-Leste, Viet Nam, Tonga, Chagos Is.","native",60,"TL","Fishbase","4.0","0.65","based on food items","3","90","benthic invertivore","Demersal","Hard bottom",26.54194,"Harvey et al 2020",NA,"Least Concern","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","CAAB","37346048","Actinopterygii","Perciformes","Lutjanidae","Lutjaninae","Macolor","niger","Macolor niger","Black-and-white Snapper","Australia","N, CS, NW","FishBase","187",NA,"FL",0.0217,2.97,0,1,"Species specific",50,"American Samoa, Australia, Bangladesh, Solomon Is., Brunei Darsm, Myanmar, Cambodia, Sri Lanka, China, Chinese Taipei, Christmas I., Cocos Is. (Keel), Comoros, Mayotte, Cook Is., Fiji, Bassas da India, Djibouti, Kiribati, Guam, Hong Kong, India, Indonesia, Japan, Ryukyu Is., Jordan, Kenya, Macau, Madagascar, Malaysia, Maldives, Mauritius, Mozambique, Oman, Nauru, New Caledonia, Vanuatu, North Marianas, Micronesia, Marshall Is., Palau, Pakistan, Papua New Guinea, Admiralty Is., Philippines, Timor-Leste, La Reunion Is., Saudi Arabia, Seychelles, Singapore, Viet Nam, Somalia, South Africa, Sudan, Thailand, Tonga, Tuvalu, Egypt, Chagos Is., Tanzania, Wallis Futuna, Samoa, Yemen, Eritrea, Andaman Is., Ogasawara Is., Socotra Arch.","native",75,NA,"Fishbase","4.0","0.66","based on food items",NA,NA,"benthic invertivore","Demersal","Hard bottom",26.32978,"Harvey et al 2020",NA,"Least Concern","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","CAAB","37346049","Actinopterygii","Perciformes","Lutjanidae","Apsilinae","Paracaesio","xanthura","Paracaesio xanthura","False Fusilier","Australia","NW, N, TE, CS","FishBase","194",NA,"SL",0.0322,2.989,NA,NA,"Species specific",40,"American Samoa, Australia, Bangladesh, Solomon Is., Myanmar, Cambodia, Sri Lanka, China, Chinese Taipei, Comoros, Mayotte, Cook Is., Fiji, French Polynesia, Djibouti, Kiribati, Guam, Hong Kong, India, Indonesia, Iran, Japan, Ryukyu Is., Kenya, Korea (South), Macau, Madagascar, Malaysia, Maldives, Mauritius, Mozambique, Oman, Nauru, New Caledonia, Vanuatu, New Zealand, Kermadec Is., Norfolk I., North Marianas, Micronesia, Palau, Pakistan, Papua New Guinea, Admiralty Is., Philippines, Timor-Leste, La Reunion Is., Seychelles, Singapore, Viet Nam, Somalia, South Africa, Thailand, Tokelau, Tonga, Tuvalu, Chagos Is., Tanzania, Wallis Futuna, Samoa, Yemen, Eritrea, Andaman Is., Ogasawara Is., Lord Howe I.","native",50,"TL","Fishbase","3.4","0.45","based on food items","5","250","planktivore","pelagic site attached","Hard bottom",21.8046,"Harvey et al 2020",NA,"Least Concern","Y","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","CAAB","37346052","Actinopterygii","Perciformes","Lutjanidae","Paradicichthyinae","Symphorichthys","spilurus","Symphorichthys spilurus","Sailfin Snapper","Australia","NW, CS","FishBase","214",NA,NA,0.0123,3.02,NA,NA,"Based on LWR estimates for this Sub-family-body shape.",44,"Australia, Solomon Is., Brunei Darsm, Cambodia, China, Chinese Taipei, Hong Kong, Indonesia, Japan, Ryukyu Is., Macau, Malaysia, New Caledonia, Vanuatu, Micronesia, Palau, Papua New Guinea, Admiralty Is., Philippines, Timor-Leste, Singapore, Viet Nam, Thailand, Tonga","native",60,"TL","Fishbase","3.8","0.56","based on food items","5","60","higher carnivore","Demersal","Hard bottom",26.708,"Harvey et al 2020",NA,"Least Concern","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","CAAB","37346053","Actinopterygii","Perciformes","Lutjanidae","Apsilinae","Paracaesio","stonei","Paracaesio stonei","Cocoa Snapper","Australia","NW, N, CS","FishBase","193",40,"FL",0.2,2.402,0,1,"Species specific",50.08,"American Samoa, Australia, Chinese Taipei, Fiji, Japan, Ryukyu Is., Vanuatu, Papua New Guinea, Tuvalu, Wallis Futuna, Samoa","native",50,NA,"Fishbase","4.0","0.66","based on food items",NA,NA,NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","CAAB","37346055","Actinopterygii","Perciformes","Lutjanidae","Etelinae","Pristipomoides","flavipinnis","Pristipomoides flavipinnis","Goldeneye Snapper","Australia","NW, N, CS","FishBase","202",NA,"FL",0.0298,2.854,0,1,"Species specific",37.98,"Australia, Solomon Is., China, Chinese Taipei, Cook Is., Fiji, Kiribati, Guam, Indonesia, Japan, Ryukyu Is., Nauru, New Caledonia, Vanuatu, Niue, North Marianas, Micronesia, Palau, Papua New Guinea, Admiralty Is., Philippines, Timor-Leste, Tokelau, Tonga, Tuvalu, Wallis Futuna, Samoa, Ogasawara Is.","native",56.5,NA,"Fishbase","3.6","0.51","based on food items",NA,NA,NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","CAAB","37346056","Actinopterygii","Perciformes","Lutjanidae","Etelinae","Pristipomoides","zonatus","Pristipomoides zonatus","Oblique-banded Snapper","Australia","NW, SW, N, CS","FishBase","211",NA,"FL",0.0212,2.995,0,1,"Species specific",42.14,"Australia, Bangladesh, Solomon Is., Myanmar, Sri Lanka, Chinese Taipei, Christmas I., Comoros, Mayotte, Cook Is., Galapagos Is., Fiji, French Polynesia, Djibouti, Kiribati, Guam, India, Indonesia, Japan, Ryukyu Is., Kenya, Madagascar, Malaysia, Maldives, Mauritius, Mozambique, Oman, Nauru, New Caledonia, Vanuatu, Niue, North Marianas, Micronesia, Marshall Is., Palau, Pakistan, Papua New Guinea, Admiralty Is., Philippines, La Reunion Is., Seychelles, Somalia, Thailand, Tokelau, Tonga, Tuvalu, Chagos Is., Tanzania, Hawaii, Wallis Futuna, Samoa, Yemen, Andaman Is., Ogasawara Is.","native",57.5,NA,"Fishbase","4.0","0.0","based on diet studies","70","350",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","CAAB","37346057","Actinopterygii","Perciformes","Lutjanidae","Lutjaninae","Lutjanus","timoriensis","Lutjanus timoriensis","Timor Snapper","Australia","N, NW","FishBase","182",NA,"FL",0.0019,3.56,0,1,"Species specific",39.24,"Australia, Solomon Is., Cambodia, Sri Lanka, Fiji, Kiribati, Indonesia, Japan, Maldives, Papua New Guinea, Admiralty Is., Philippines, Timor-Leste, Thailand, Tonga, Samoa","native",73.6999969482422,NA,"Fishbase","4.0","0.66","based on food items",NA,NA,NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385","CAAB","37346058","Actinopterygii","Perciformes","Lutjanidae","Etelinae","Etelis","radiosus","Etelis radiosus","Pale Ruby Snapper","Australia","Christmas Island, SW, NW, CS","FishBase","1392",NA,"FL",0.0563,2.689,0,1,"Species specific",45.53,"Australia, Bangladesh, Solomon Is., Brunei Darsm, Myanmar, Sri Lanka, China, Chinese Taipei, Christmas I., Cook Is., Fiji, Kiribati, Guam, India, Indonesia, Japan, Ryukyu Is., Malaysia, Nauru, New Caledonia, Vanuatu, North Marianas, Pac Is Trust Tr, Micronesia, Palau, Papua New Guinea, Admiralty Is., Philippines, Timor-Leste, Thailand, Tokelau, Tonga, Tuvalu, Wallis Futuna, Samoa, Andaman Is.","native",80,NA,"Fishbase","4.5","0.80","based on food items",NA,NA,NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","CAAB","37346059","Actinopterygii","Perciformes","Lutjanidae","Etelinae","Pristipomoides","auricilla","Pristipomoides auricilla","Goldflag Snapper","Australia","NW, N, CS","FishBase","200",NA,"FL",0.016,3.049,0,1,"Species specific",32.81,"American Samoa, Australia, Solomon Is., Brunei Darsm, Myanmar, Cambodia, China, Chinese Taipei, Christmas I., Cook Is., Fiji, French Polynesia, Kiribati, Guam, Hong Kong, Indonesia, Japan, Ryukyu Is., Johnston I., Macau, Maldives, Nauru, New Caledonia, Vanuatu, North Marianas, Pac Is Trust Tr, Micronesia, Marshall Is., Palau, Papua New Guinea, Admiralty Is., Philippines, La Reunion Is., Viet Nam, Thailand, Tokelau, Tonga, Tuvalu, Chagos Is., Hawaii, US Misc Pac, Wallis Futuna, Samoa, Ogasawara Is.","native",45,NA,"Fishbase","3.9","0.0","based on diet studies",NA,NA,NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387","CAAB","37346060","Actinopterygii","Perciformes","Lutjanidae","Apsilinae","Paracaesio","kusakarii","Paracaesio kusakarii","Saddleback Snapper","Australia","N, CS","FishBase","191",NA,"FL",0.0106,3.135,0,1,"Species specific",54.12,"Australia, Solomon Is., Chinese Taipei, Cook Is., Fiji, Kiribati, Guam, Indonesia, Japan, Ryukyu Is., Malaysia, New Caledonia, Vanuatu, North Marianas, Micronesia, Palau, Papua New Guinea, Admiralty Is., Philippines, Timor-Leste, Tokelau, Tonga, Tuvalu, Wallis Futuna, Samoa, Ogasawara Is.","native",60,NA,"Fishbase","4.0","0.66","based on food items",NA,NA,NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","CAAB","37346064","Actinopterygii","Perciformes","Lutjanidae","Etelinae","Pristipomoides","sieboldii","Pristipomoides sieboldii","Lavender Snapper","Australia","NW, SW, N, TE, CS","FishBase","209",NA,"FL",0.0243,2.91,0,1,"Species specific",35.78,"American Samoa, Australia, Bahrain, Bangladesh, Solomon Is., Brunei Darsm, Myanmar, Sri Lanka, China, Chinese Taipei, Comoros, Cook Is., Fiji, French Polynesia, Djibouti, Kiribati, Guam, India, Indonesia, Iran, Iraq, Japan, Ryukyu Is., Johnston I., Jordan, Kenya, Korea (South), Kuwait, Madagascar, Malaysia, Maldives, Mauritius, Mozambique, Oman, Nauru, New Caledonia, Vanuatu, Niue, North Marianas, Micronesia, Palau, Pakistan, Papua New Guinea, Admiralty Is., Philippines, Timor-Leste, Qatar, La Reunion Is., Saudi Arabia, Seychelles, Viet Nam, Somalia, South Africa, Sudan, Thailand, Tokelau, Tonga, United Arab Em., Tuvalu, Egypt, Tanzania, Hawaii, Samoa, Yemen, Eritrea, Andaman Is.","native",79,NA,"Fishbase","3.7","0.2","based on diet studies",NA,NA,"generalist carnivore",NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","CAAB","37346065","Actinopterygii","Perciformes","Lutjanidae","Lutjaninae","Lutjanus","russellii","Lutjanus russellii","Moses' Snapper","Australia","NW, N, CS, TE","FishBase","176",NA,"TL",0.00637,3.2024,0.59933332602183,1.04439334074656,"Species specific",40,"Australia, Bahrain, Bangladesh, Solomon Is., Myanmar, Cambodia, Sri Lanka, China, Chinese Taipei, Comoros, Mayotte, Fiji, Djibouti, Kiribati, Hong Kong, India, Indonesia, Iran, Iraq, Japan, Ryukyu Is., Jordan, Kenya, Korea (South), Kuwait, Macau, Madagascar, Malaysia, Mauritius, Mozambique, Oman, New Caledonia, Vanuatu, Pakistan, Papua New Guinea, Admiralty Is., Philippines, Timor-Leste, Qatar, La Reunion Is., Saudi Arabia, Seychelles, Singapore, Viet Nam, Somalia, South Africa, Sudan, Thailand, Tonga, United Arab Em., Egypt, Tanzania, Yemen, Eritrea, Andaman Is., Ogasawara Is.","native",50,"TL","Fishbase","4.1","0.4","based on diet studies","3","80","higher carnivore","Demersal","Hard bottom",24.4725,"Harvey et al 2020",NA,"Least Concern","Y","C/R",NA,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","CAAB","37346067","Actinopterygii","Perciformes","Lutjanidae","Lutjaninae","Pinjalo","lewisi","Pinjalo lewisi","Red Pinjalo","Australia","N, NW","FishBase","8430",NA,NA,0.01479,2.97,NA,NA,"Based on LWR estimates for this Sub-family-body shape.",44.4,"Australia, Solomon Is., Chinese Taipei, Fiji, India, Indonesia, Japan, Ryukyu Is., Malaysia, Maldives, Papua New Guinea, Philippines, Timor-Leste, Andaman Is.","native",50,"TL","Fishbase","3.3","0.38","based on food items","20","200",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","CAAB","37346069","Actinopterygii","Perciformes","Lutjanidae","Apsilinae","Paracaesio","gonzalesi","Paracaesio gonzalesi","Vanuatu Snapper","Australia","TE","FishBase","190",NA,"SL",0.0354,3,NA,NA,"Species specific",40.5,"Fiji, Vanuatu, Philippines, Tuvalu",NA,42,"SL","Fishbase","3.4","0.4","based on size and trophs of closest relative","90","250",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"392","CAAB","37346072","Actinopterygii","Perciformes","Lutjanidae","Lutjaninae","Pinjalo","pinjalo","Pinjalo pinjalo","a tropical snapper","Australia","NW","FishBase","196",NA,NA,0.01479,2.97,NA,NA,"Based on LWR estimates for this Sub-family-body shape.",52,"Bahrain, Bangladesh, Myanmar, Cambodia, Sri Lanka, China, Chinese Taipei, Comoros, Djibouti, Hong Kong, India, Indonesia, Iran, Iraq, Jordan, Kenya, Kuwait, Malaysia, Mozambique, Oman, Pakistan, Papua New Guinea, Philippines, Timor-Leste, Qatar, Saudi Arabia, Singapore, Viet Nam, Somalia, Sudan, Thailand, United Arab Em., Egypt, Tanzania, Yemen, Eritrea, Andaman Is.",NA,80,"TL","Fishbase","3.5","0.41","based on food items","15","100",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393","CAAB","37346073","Actinopterygii","Perciformes","Lutjanidae","Etelinae","Randallichthys","filamentosus","Randallichthys filamentosus","a tropical snapper","Australia","SW, NW, TE","FishBase","212",NA,NA,0.01514,2.95,NA,NA,"Based on LWR estimates for this Sub-family-body shape.",44.4,"Australia, Cook Is., French Polynesia, Japan, Ryukyu Is., New Caledonia, Micronesia, Tonga, Hawaii, Ogasawara Is.","native",760,"TL","Fishes of Australia","4.0","0.4","based on size and trophs of closest relative","150","500",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"394","CAAB","37348001","Actinopterygii","Perciformes","Lobotidae",NA,"Lobotes","surinamensis","Lobotes surinamensis","Tripletail","Australia","SW, NW, N, TE, CS","FishBase","1077",NA,"TL",0.0428,2.84,0,1,"Species specific",34.52,"Albania, Algeria, Angola, Antigua Barbuda, Argentina, Australia, Bahamas, Bahrain, Bangladesh, Barbados, Bermuda, Bosnia Herzegov., Brazil, Belize, Solomon Is., Virgin Is. (UK), Brunei Darsm, Myanmar, Cambodia, Cameroon, Canada, Cayman Is., Sri Lanka, China, Chinese Taipei, Cocos Is. (Keel), Colombia, Comoros, Mayotte, Congo, Congo Dem Rp, Costa Rica, Croatia, Cuba, Cyprus, Dominica, Dominican Rp, Ecuador, Eq Guinea, Falkland Is., Fiji, France, Tahiti, French Guiana, Djibouti, Gabon, Gambia, Ghana, Gibraltar, Kiribati, Greece, Grenada, Guadeloupe, Guam, Guatemala, Guinea, Guyana, Haiti, Honduras, Hong Kong, India, Indonesia, Iran, Israel, Italy, Ivory Coast, Jamaica, Japan, Jordan, Kenya, Korea (South), Kuwait, Lebanon, Liberia, Libya, Madagascar, Malaysia, Maldives, Malta, Martinique, Mauritania, Mauritius, Mexico, Monaco, Montenegro, Montserrat, Morocco, Mozambique, Oman, Namibia, Nauru, Curaçao I., Neth Antilles, Aruba, New Caledonia, Vanuatu, Nicaragua, Norfolk I., North Marianas, Micronesia, Marshall Is., Palau, Pakistan, Panama, Papua New Guinea, Philippines, Portugal, Madeira Is., Guinea-Bissau, Timor-Leste, Puerto Rico, Qatar, La Reunion Is., St Kitts Nevis, St Lucia, St Vincent Gren., Sao Tome Princ., Saudi Arabia, Senegal, Seychelles, Sierra Leone, Singapore, Viet Nam, Slovenia, Somalia, South Africa, Spain, Canary Is., West Sahara, Sudan, Suriname, Syria, Thailand, Togo, Trinidad Tobago, United Arab Em., Tunisia, Turkey, Turks Caicos Is., Tuvalu, Egypt, Chagos Is., Tanzania, USA, Hawaii, Virgin Is. (US), Uruguay, Venezuela, Wake I., Yemen, Eritrea, Andaman Is., Ogasawara Is.","native",110,NA,"Fishbase","4.0","0.5","based on diet studies",NA,NA,NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"395","CAAB","37349008","Actinopterygii","Perciformes","Gerreidae",NA,"Gerres","longirostris","Gerres longirostris","Strongspine Silverbiddy","Australia","CS, N","FishBase","7699",15.9666665395101,"TL",0.0184,2.871,0,1.19117999076843,"Species specific",30.04,"Australia, Bahrain, Sri Lanka, China, Chinese Taipei, Cocos Is. (Keel), Comoros, Mayotte, Fiji, Djibouti, Guam, Hong Kong, India, Indonesia, Iran, Iraq, Japan, Ryukyu Is., Kenya, Kuwait, Madagascar, Malaysia, Maldives, Mauritius, Mozambique, Oman, New Caledonia, Vanuatu, Micronesia, Marshall Is., Palau, Papua New Guinea, Philippines, Qatar, La Reunion Is., Saudi Arabia, Seychelles, Viet Nam, Somalia, South Africa, Tonga, United Arab Em., Egypt, Chagos Is., Tanzania, Samoa, Yemen, Eritrea, Andaman Is., Ogasawara Is., Socotra Arch.","native",44.5,"TL","Fishbase","3.5","0.34","based on food items","1","50",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern","Y","C/R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
